snapped_at,price,market_cap,total_volume
2020-07-02,68.29936610070556,646147226.0648558,269054516.32677335
2020-07-03,66.6979620362811,630584768.0225533,215792504.18420297
2020-07-04,66.52183851371157,629220450.9613575,244241655.82670185
2020-07-05,67.5451762223743,638594613.371537,255258942.00966465
2020-07-06,67.40713897345225,637289563.2030982,240907799.33278796
2020-07-07,70.19094062613416,663608552.0564958,287375477.3589576
2020-07-08,69.97181878756761,661494001.4314573,266102681.80904123
2020-07-09,72.57457625512784,686144237.9196059,302588902.1428938
2020-07-10,71.9624833375033,680357307.4245098,280166302.62180007
2020-07-11,71.59452164803368,677198223.7610357,248186483.2049635
2020-07-12,72.60902860447604,686469961.9156367,253608107.26256144
2020-07-13,72.09619618123129,680387700.4208547,317150281.979827
2020-07-14,71.87440710660464,679524605.3758427,339565983.20787007
2020-07-15,71.94189238985234,680162633.7410653,295977027.5907409
2020-07-16,71.10808906908541,672279579.1836225,245272415.1080652
2020-07-17,69.33975810890117,655561188.782004,229570104.1646007
2020-07-18,69.54234045861467,657630102.9217575,215744877.69011748
2020-07-19,69.15326355417906,654243374.5968046,205062151.3560073
2020-07-20,70.00060673307094,661809071.9803457,283492995.0981971
2020-07-21,68.96094140214434,652136957.3939956,279781909.9414981
2020-07-22,70.98979626591078,670908465.6043389,260457711.36836988
2020-07-23,73.04316188388322,690564611.4997506,270573007.2665709
2020-07-24,73.27249041926986,692742692.4236348,276987939.32105494
2020-07-25,71.97637363867287,680488630.9623415,275083925.149106
2020-07-26,74.57145748275461,705736804.5816607,281338312.03974944
2020-07-27,75.24470121108179,711297294.5112063,329140487.22078735
2020-07-28,77.51538607063867,731089810.7618108,384007038.3259411
2020-07-29,79.77714502401159,753693462.6853347,334978214.4687126
2020-07-30,81.39688182446281,769083644.4999182,316300568.63679934
2020-07-31,81.4435616019284,770909050.1257379,268988164.5576025
2020-08-01,82.42593754641501,779486034.575727,268898125.91845137
2020-08-02,93.070791606737,884610211.9960732,523566800.8099634
2020-08-03,84.85203164891398,802692876.0048904,468924336.1616656
2020-08-04,87.82054144475308,827984914.6302488,380328413.0874836
2020-08-05,86.75681776342145,822298217.2089664,289668760.84699804
2020-08-06,92.2882220257174,871811887.8989646,371666812.63152945
2020-08-07,100.5497304238986,950630671.4378237,629336225.9848882
2020-08-08,96.077548938856,926079098.2767764,570968951.8841869
2020-08-09,97.995463444996,940911270.7872428,480611162.0350807
2020-08-10,97.34344508896108,938907508.1266494,426550740.4557031
